lat,lon,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
-27.50,294.50,11.44,14.49,23.88,22.23,16.49,11.22,7.90,5.31,3.59,3.85,4.78,5.59
-27.50,300.50,11.90,10.80,13.31,19.34,21.29,17.00,13.34,9.68,6.81,6.59,7.40,9.76
-27.50,301.50,21.05,17.78,19.48,24.43,25.99,22.29,19.26,14.96,11.22,12.23,16.62,20.61
-27.50,302.50,28.28,23.07,23.75,26.57,29.72,28.22,27.29,22.73,17.83,21.15,28.20,30.04
-27.50,303.50,73.87,59.95,59.38,61.32,70.32,72.52,74.23,64.98,54.33,67.58,81.22,79.75
-27.50,304.50,77.71,62.18,60.72,61.14,72.98,79.81,82.38,73.02,63.99,79.45,86.80,83.64
-27.50,305.50,73.26,56.92,54.95,54.30,68.81,77.94,80.48,71.37,66.34,88.70,90.22,84.67
-27.50,306.50,79.69,61.71,59.21,59.25,79.56,90.06,93.13,84.83,81.71,109.24,110.38,95.79
-27.50,307.50,51.93,41.25,40.67,40.13,54.22,58.82,61.72,57.63,57.07,73.65,72.42,60.19
-27.50,308.50,80.34,66.43,67.34,65.36,85.71,85.66,89.69,84.59,86.10,107.94,104.81,88.56
-26.50,19.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-26.50,20.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-26.50,21.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-26.50,22.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-26.50,23.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-26.50,24.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-26.50,25.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-26.50,26.50,0.09,0.09,0.10,0.09,0.07,0.05,0.04,0.03,0.02,0.04,0.05,0.07
-26.50,27.50,0.67,0.68,0.72,0.55,0.45,0.32,0.24,0.19,0.16,0.33,0.40,0.49
-26.50,28.50,3.52,3.56,3.78,3.04,2.43,1.76,1.31,1.02,0.80,1.65,2.05,2.47
-26.50,29.50,3.86,3.71,4.16,3.65,2.80,1.97,1.42,1.09,0.75,1.77,2.60,2.76
-26.50,116.50,0.09,0.11,0.23,0.37,0.36,0.27,0.22,0.16,0.11,0.09,0.07,0.08
-26.50,117.50,0.11,0.15,0.33,0.57,0.52,0.38,0.30,0.21,0.15,0.12,0.09,0.08
-26.50,118.50,0.12,0.15,0.28,0.49,0.48,0.38,0.30,0.23,0.16,0.14,0.10,0.09
-26.50,141.50,0.11,0.18,0.34,0.33,0.26,0.19,0.15,0.11,0.10,0.11,0.16,0.16
